image,caption
./coco_dataset/train2017/000000168619.jpg,A paved path stretches through the grass under the cloudy sky.
./coco_dataset/train2017/000000133645.jpg,A view of a lake with boats in it. 
./coco_dataset/train2017/000000194724.jpg,a table with a drink a bottle some paper and a pizza
./coco_dataset/train2017/000000276285.jpg,pizza an other food on a table at a restaurant
./coco_dataset/train2017/000000060855.jpg,The two apples are surround by a bunch of oranges.
./coco_dataset/train2017/000000452122.jpg,An airplane flying in the air during the day.
./coco_dataset/train2017/000000242946.jpg,A group of women sitting around a table sharing a meal.
./coco_dataset/train2017/000000068387.jpg,A baseball game in progress with the batter up to plate.
./coco_dataset/train2017/000000470121.jpg,Two plates that have different types of food on it near a bottle.
./coco_dataset/train2017/000000086483.jpg,a black white and red sign grass and a building
./coco_dataset/train2017/000000523957.jpg,Skate boarders are running a track with cones.
./coco_dataset/train2017/000000344621.jpg,Magenta and plaid furniture sit in a brightly lit living room.
./coco_dataset/train2017/000000006723.jpg,A bike and walking path running side by side near a city street.
./coco_dataset/train2017/000000406129.jpg,a male is wearing white and playing tennis
./coco_dataset/train2017/000000178618.jpg,An elephant standing in a dust filled field.
./coco_dataset/train2017/000000243626.jpg,A plate with green beans and a protein and some polenta with cheese.
./coco_dataset/train2017/000000471023.jpg,People on a wilderness path are seen from a train.
./coco_dataset/train2017/000000291634.jpg,A group of bikes and motorcycles parked on a city street.
./coco_dataset/train2017/000000085772.jpg,Young man swinging a tennis racket on a tennis court
./coco_dataset/train2017/000000100283.jpg,A STOP sign on a city street at night.
./coco_dataset/train2017/000000381587.jpg,Several pictures of food on a table at a restaurant. 
./coco_dataset/train2017/000000181859.jpg,A cute cat laying down in a sink.
./coco_dataset/train2017/000000387387.jpg,A large yellow bus parked in some grass.
./coco_dataset/train2017/000000090891.jpg,Five people sit in a room filled with bananas.
./coco_dataset/train2017/000000537053.jpg,A giraffe standing on top of a green field.
./coco_dataset/train2017/000000110972.jpg,A black bear walking in the grass and leaves.
./coco_dataset/train2017/000000447169.jpg,A cramped kitchen in pictured in this image.
./coco_dataset/train2017/000000395701.jpg,"An orange room with a bookcase, chairs, and a TV."
./coco_dataset/train2017/000000203389.jpg,Several men stand next to other men as they sit on motorcycles.
./coco_dataset/train2017/000000289938.jpg,A hot dog vendor sits outside a famous building in the city.
./coco_dataset/train2017/000000096825.jpg,A man with skis and ski poles is standing next to a hill covered in snow
./coco_dataset/train2017/000000486479.jpg,White dog sticking his nose out from under red and white striped bed ruffle.
./coco_dataset/train2017/000000288862.jpg,A man is doing a trick on a skateboard.
./coco_dataset/train2017/000000026564.jpg,There is a desktop computer and a laptop sitting on an organize desk in an office .
./coco_dataset/train2017/000000050811.jpg,A person is sitting next to a brown table. 
./coco_dataset/train2017/000000431876.jpg,The cops in the city are riding horses threw the streets. 
./coco_dataset/train2017/000000034205.jpg,The meal is prepared and ready to be eaten. 
./coco_dataset/train2017/000000150417.jpg,An elderly woman is seated at a table with a small cake in front of her.
./coco_dataset/train2017/000000482477.jpg,A small bird sitting on top of a branch.
./coco_dataset/train2017/000000328959.jpg,An oddly shaped black toilet lid in a bathroom.
./coco_dataset/train2017/000000049269.jpg,A brown horse stands over a light colored dog.
./coco_dataset/train2017/000000132622.jpg,A large grizzly bear walking through tall grass.
./coco_dataset/train2017/000000257566.jpg,A narrow boat coming down a small water way next to a sidewalk.
./coco_dataset/train2017/000000268000.jpg,A train is entering a train station. 
